"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","0","Suite","RegisterOrganizationWithValidValues, CreateTask","org.example.test.Task13_3","org.example.test.Task13_3","createTask","createTask",""
"broken","Thu Jul 27 12:29:58 EEST 2023","Thu Jul 27 12:29:59 EEST 2023","1049","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"skipped","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","0","Suite","RegisterOrganizationWithValidValues, CreateTask","org.example.test.Task13_3","org.example.test.Task13_3","createTask","createTask",""
"passed","Thu Jul 27 12:34:08 EEST 2023","Thu Jul 27 12:34:09 EEST 2023","994","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"passed","Thu Jul 27 12:30:05 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","795","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"broken","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","15","Suite","RegisterOrganizationWithValidValues, CreateTask","org.example.test.Task13_3","org.example.test.Task13_3","setUp","setUp",""
"passed","Thu Jul 27 12:37:46 EEST 2023","Thu Jul 27 12:37:47 EEST 2023","870","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"passed","Thu Jul 27 11:36:30 EEST 2023","Thu Jul 27 11:36:31 EEST 2023","1010","Suite","CreatePartnerWithValidValues","org.example.test.Task6","org.example.test.Task6","createPartnerWithValidValues","createPartnerWithValidValues",""
"passed","Thu Jul 27 12:37:39 EEST 2023","Thu Jul 27 12:37:40 EEST 2023","817","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"passed","Thu Jul 27 12:42:39 EEST 2023","Thu Jul 27 12:42:55 EEST 2023","16099","Default Suite","Skarb_automation_tests","org.example.test.Task13_3","org.example.test.Task13_3","createTask","createTask",""
"passed","Thu Jul 27 12:37:32 EEST 2023","Thu Jul 27 12:37:33 EEST 2023","981","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"broken","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","0","Suite","RegisterPartnerWithValidValues","org.example.test.Task7","org.example.test.Task7","setUp","setUp",""
"skipped","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","0","Suite","RegisterPartnerWithValidValues","org.example.test.Task7","org.example.test.Task7","createPartnerWithValidValues","createPartnerWithValidValues",""
"skipped","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","1","Suite","RegisterOrganizationWithValidValues, CreateTask","org.example.test.Task13_3","org.example.test.Task13_3","registerOrganization","registerOrganization",""
"skipped","Thu Jul 27 12:30:06 EEST 2023","Thu Jul 27 12:30:06 EEST 2023","0","Suite","RegisterOrganizationWithValidValues, CreateTask","org.example.test.Task13_3","org.example.test.Task13_3","createTask","createTask",""
"passed","Thu Jul 27 12:29:51 EEST 2023","Thu Jul 27 12:29:52 EEST 2023","923","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"passed","Thu Jul 27 12:42:29 EEST 2023","Thu Jul 27 12:42:33 EEST 2023","4435","Default Suite","Skarb_automation_tests","org.example.test.Task13_3","org.example.test.Task13_3","createTask","createTask",""
"passed","Thu Jul 27 12:43:22 EEST 2023","Thu Jul 27 12:44:01 EEST 2023","39466","Default Suite","Skarb_automation_tests","org.example.test.Task13_3","org.example.test.Task13_3","registerOrganization","registerOrganization",""
"passed","Thu Jul 27 12:34:15 EEST 2023","Thu Jul 27 12:34:16 EEST 2023","814","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"passed","Thu Jul 27 12:34:22 EEST 2023","Thu Jul 27 12:34:23 EEST 2023","801","Suite","RegisterVolunteerWithValidValues","org.example.test.Task13_1","org.example.test.Task13_1","createVolunteer","createVolunteer",""
"passed","Thu Jul 27 12:43:01 EEST 2023","Thu Jul 27 12:43:16 EEST 2023","14318","Default Suite","Skarb_automation_tests","org.example.test.Task13_3","org.example.test.Task13_3","createTask","createTask",""
